File Name,Keywords,Type,Content
Test File 9.docx,date,Within content,(f)All of its representations and warranties contained herein are true and complete as of the date hereof and will be true and complete at the time of any disbursement of the Escrow Funds.
Test File 9.docx,date,Within content,"14.USA PATRIOT ACT.None of Secured Party or ExOne is (or will be) a person with whom Escrow Agent is restricted from doing business with under regulations of the Office of Foreign Asset Control (OFAC) of the Department of the Treasury of the United States of America (including, those persons named on OFACs Specially Designated and Blocked Persons list) or under any statute, executive order (including, the September 24, 2001 Executive Order Blocking Property and Prohibiting Transactions With Persons Who Commit, Threaten to Commit, or Support Terrorism), or other governmental action and is not and shall not engage in any dealings or transactions or otherwise be associated with such persons. In addition, Secured Party and ExOne hereby agree to provide Escrow Agent with any additional information that Escrow Agent deems necessary from time to time in order to ensure compliance with all applicable laws concerning money laundering and similar activities. The following notification is provided to Secured Party and ExOne pursuant to Section 326 of the USA Patriot Act of 2001, 31 U.S.C. Section 5318 (Patriot Act): IMPORTANT INFORMATION ABOUT PROCEDURES FOR OPENING A NEW ACCOUNT. To help the government fight the funding of terrorism and money laundering activities, Federal law requires all financial institutions to obtain, verify, and record information that identifies each person or entity that opens an account, including any deposit account, treasury management account, loan, other extension of credit, or other financial services product. What this means for depositors: When a depositor opens an account, if such depositor is an individual, a lender (including Escrow Agent) will ask for such depositors name, taxpayer identification number, residential address, date of birth, and other information that will allow the lender to identify such depositor, and, if such depositor is not an individual, Escrow Agent will ask for such depositors name, taxpayer identification number, business address, and other information that will allow the lender to identify such depositor. Escrow Agent may also ask, if such depositor is an individual, to see depositors drivers license or other identifying documents, and, if such depositor is not an individual, to see such depositors legal organizational documents or other identifying documents.In the event Secured Party or ExOne violates any of the provisions of the USA Patriot Act and the regulations thereunder, such event shall constitute a default hereunder and shall entitle Escrow Agent to exercise all of its rights and remedies at law or in equity, including but not limited to terminating this Agreement."
Test File 9.docx,date,Within content,"16. NOTICES.All communications, notices and instructions required herein shall be in writing and shall be deemed to have been duly given if delivered by (a) hand or first class, registered or certified mail, return receipt requested, postage prepaid, (b) facsimile or electronic transmission if followed by letter and affirmative confirmation of receipt is received (such facsimile or electronically transmitted notice to be effective on the date such affirmative confirmation of receipt is received), or (c) overnight courier (such notice to be effective the following business day if instructions to deliver such notice on the next business day are given) and addressed as follows:"
Test File 9.docx,date,Within content," 22.EXECUTION.This Agreement may be executed in several counterparts, including by electronic delivery, each of which shall be deemed an original, but such counterparts together shall constitute one and the same instrument. The effective date of this Agreement shall be the date it is executed by the last party to do so."
Test File 9.docx,date,Within content,"IN WITNESS WHEREOF, the parties hereto have executed this Agreement as of the date first written above."
Test File 9.docx,Date,Heading,"Date: March 12, 2018


LBM HOLDINGS LLC,
a Pennsylvania limited liability company


By: _/s/ Mark V. Deluzio________________
"
Test File 9.docx,Date,Heading,"Date: March 12, 2018


THE EXONE COMPANY,"
Test File 9.docx,Date,Heading,"Date: March 12, 2018






Exhibit A

LOAN REQUEST



Capitalized terms not otherwise defined herein shall have the respective meanings ascribed to them by the Credit Agreement.




Exhibit B

Fee Schedule


These fees are based upon our current understanding of our duties under of the above-referenced agreement. The Huntington National Bank reserves the rights to adjust its fees should its duties change under the agreement.



ACCEPTANCE FEE: None

ADVANCE ANNUAL ADMINISTRATION FEE$10,000


TRANSACTION FEES:
Wire Fee:None"
Test File 8.docx,date,Heading,"This Escrow Agreement, dated this 13th day of March, 2018 (this Escrow Agreement), is entered into by and among SEASPAN CORPORATION, a corporation incorporated under the laws of the Republic of the Marshall Islands (Buyer), GREATER CHINA INDUSTRIAL INVESTMENTS LLC, a limited liability company formed under the laws of the Republic of the Marshall Islands (the Holder Representative and, together with Buyer, the Parties and, each individually, a Party), and WILMINGTON TRUST, N.A., as escrow agent (the Escrow Agent). Capitalized terms used and not otherwise defined herein have the meanings ascribed to such terms in the Merger Agreement (as defined below)."
Test File 8.docx,date,Within content,"WHEREAS, Buyer, Seaspan Investments III LLC, a limited liability company formed under the laws of the Republic of the Marshall Islands and a wholly-owned indirect subsidiary of Buyer, Greater China Intermodal Investments LLC, a limited liability company formed under the laws of the Republic of the Marshall Islands (the Company), and the Holder Representative, solely in its capacity as the Holder Representative thereunder, are parties to that certain Agreement and Plan of Merger, dated as of the date hereof (the Merger Agreement);"
Test File 8.docx,date,Heading,"(a) Delivery and Receipt of Escrow Funds. On the date hereof and as soon as practicable after the Effective Time, Buyer shall deliver or cause to be delivered to the Escrow Agent (i) an amount in cash, in immediately available funds, equal to the Adjustment Escrow Funds and (ii) an amount in cash, in immediately available funds, equal to the Indemnification Escrow Funds. The Escrow Agent agrees to hold in escrow, in accordance with this Escrow Agreement, (A) the Adjustment Escrow Funds (the Adjustment Escrow Property) and (B) the Indemnification Escrow Funds (the Indemnification Escrow Property and, together with the Adjustment Escrow Property, the Escrow Property). The Escrow Agent hereby agrees to retain the Escrow Property in one or more separate accounts.
(b) Investment of Cash.
(i) The Escrow Agent shall invest any Escrow Property in accordance with a joint written instruction (any such instruction, a Joint Written Instruction) provided to the Escrow Agent and signed by the Parties. In the absence of a Joint Written Instruction to the contrary, the Escrow Agent shall deposit all cash included in such Escrow Property in a non-interest bearing trust account insured by the Federal Insurance Corporation (FDIC) to the applicable limits, which is further described on Exhibit A hereto.
(ii) The Escrow Agent is hereby authorized and directed to sell or redeem any such investments as it deems necessary to make any payments or distributions required under this Escrow Agreement with regard to the Escrow Accounts. The Escrow Agent shall have no responsibility or liability for any loss which may result from any investment or sale of investment made in accordance with this Escrow Agreement. The Escrow Agent is hereby authorized, in making or disposing of any investment permitted by this Escrow Agreement, to deal with itself (in its individual capacity) or with any one or more of its affiliates, whether it or any such affiliate is acting as agent of the Escrow Agent or for any third person or dealing as principal for its own account. The Parties acknowledge that the Escrow Agent is not providing investment supervision, recommendations, or advice.
(c) Disbursements. Subject to Section1.3(b), the Escrow Agent shall disburse the Escrow Property in accordance with the following:"
Test File 8.docx,Date,Heading,"(i) Within three (3) Business Days of the Determination Date, in accordance with Section 3.4(d) of the Merger Agreement, the Parties shall deliver a Joint Written Instruction to the Escrow Agent authorizing distribution to (A) Buyer or its designee, of the Adjustment Escrow Property owing to Buyer pursuant to the second sentence of Section 3.4(d) of the Merger Agreement (such amount, the Buyer Adjustment Payment), if any, from the Adjustment Escrow Account and (B) each Selling Member (or its designees set forth on Exhibit B, or any of their successors or permitted assigns) a portion of the Adjustment Escrow Property equal to (x) such Selling Members (or such designees) Allocation Percentage set forth on Exhibit B multiplied by (y) the aggregate amount of all Adjustment Escrow Property payable to the Selling Members (or their designees). The Escrow Agent shall release the Adjustment Escrow Property as specified in such Joint Written Instruction.



(ii) In accordance with Article XII of the Merger Agreement, in the event that it is determined or agreed by the Parties that Buyer (on behalf of itself or any other Buyer Indemnified Party) is entitled to any distribution from the Indemnification Escrow Account pursuant to Article XII of the Merger Agreement (the amount of any such required distribution, an Indemnification Distribution Amount), then the Parties shall deliver a Joint Written Instruction to the Escrow Agent that indicates that a Buyer Indemnified Party is entitled to payment of an Indemnification Distribution Amount and that specifies the amount of cash to which such Buyer Indemnified Party is entitled (it being understood that the Escrow Agent will not be responsible for the calculations associated therewith), and the Escrow Agent shall release Indemnification Escrow Property and deliver to the Buyer Indemnified Party the amount of cash held in escrow as specified in such Joint Written Instruction.
(iii) On the second (2nd) Business Day after March 13, 2019 (such date, the Escrow Release Date), all Indemnification Escrow Property (if any) shall be released to the Selling Members (or their designees set forth on Exhibit B) pro rata in accordance with the Allocation Percentages set forth opposite such Selling Members (or their designees) names on Exhibit B; provided, however, that if any claim pursuant to Article XII of the Merger Agreement has been properly asserted by any Buyer Indemnified Party in accordance with the Merger Agreement on or prior to the Escrow Release Date (any such claim, a Pending Claim), (A) the Indemnification Escrow Property released to the Selling Members (or their designees set forth on Exhibit B) shall be equal to the amount of Indemnification Escrow Property then held by the Escrow Agent, minus the amount of Indemnification Escrow Property equal to the aggregate amount of such Pending Claim(s) and (B) any Indemnification Escrow Property that remains in the Indemnification Escrow Account following the Escrow Release Date in respect of any such Pending Claim shall be released to the Selling Members (or their designees set forth on Exhibit B) pro rata in accordance with the Allocation Percentages set forth opposite such Selling Members (or their designees) names on Exhibit B promptly upon resolution or (if applicable) satisfaction of such Pending Claim(s). In each case in which this Section1.1(c)(iii) provides for the release of Indemnification Escrow Property, each of Buyer and the Holder Representative shall promptly submit a Joint Written Instruction to the Escrow Agent instructing the Escrow Agent to distribute the Indemnification Escrow Property in accordance with this Section1.1(c)(iii) and the Merger Agreement."
Test File 8.docx,date,Within content,"(vi) In the event that the Escrow Agent makes any payment to any person pursuant to this Escrow Agreement and for any reason such payment (or any portion thereof) is required to be returned to the Escrow Accounts or paid to another person or is subsequently invalidated, declared to be fraudulent or preferential, set aside and/or required to be paid to a receiver, trustee or other person under any bankruptcy or insolvency law, other federal or state law, common law or equitable doctrine, then the recipient thereof shall repay such amount to the Escrow Agent upon written request from the Escrow Agent."
Test File 8.docx,date,Within content,"Section 2.3 Reliance. The Escrow Agent shall not be liable for any action taken or not taken by it in accordance with the direction or consent of the Parties or their respective agents, representatives, successors, or assigns. The Escrow Agent shall not be liable for acting or refraining from acting upon any notice, request, consent, direction, requisition, certificate, order, affidavit, letter, or other paper or document reasonably believed by it to be genuine and correct and to have been signed or sent by the proper person or persons, without further inquiry into the persons or persons authority. Concurrent with the execution of this Escrow Agreement, Buyer and the Holder Representative shall deliver to the Escrow Agent authorized signers forms in the form of Exhibit D-1 and ExhibitD-2, respectively, to this Escrow Agreement. Either Party may change any of their respective authorized signers by delivering written notice to the other parties to this Escrow Agreement, in which event the Escrow Agent shall update Exhibit D-1 or ExhibitD-2, as applicable, to reflect such change."
Test File 8.docx,date,Within content,"Section 3.3 Resignation or Removal. The Escrow Agent may resign by furnishing written notice of its resignation to the Parties, and the Parties may remove the Escrow Agent by furnishing to the Escrow Agent a joint written notice of its removal along with payment of all fees and expenses to which it is entitled through the date of termination. Such resignation or removal, as the case may be, shall be effective thirty (30) days after the delivery of such notice or upon the earlier appointment of a successor, and the Escrow Agents sole responsibility thereafter shall be to safely keep the Escrow Property and to deliver the same to a successor escrow agent as shall be appointed by the Parties, as evidenced by a joint written notice filed with the Escrow Agent or in accordance with a court order. If the Parties have failed to appoint a successor escrow agent prior to the expiration of thirty (30) days following the delivery of such notice of resignation or removal, the Escrow Agent may petition any court of competent jurisdiction for the appointment of a successor escrow agent or for other appropriate relief, and any such resulting appointment shall be binding upon the Parties. Should any instrument be required by any successor escrow agent to more fully vest in such successor agent the duties, responsibilities and obligations hereby vested or intended to be vested in the predecessor, any and all such instruments in writing shall, upon the reasonable request of the Buyer or the Holder Representative, be executed, acknowledged and delivered by the predecessor."
Test File 8.docx,date,Within content,"Section 3.6 Merger or Consolidation. Any corporation or association into which the Escrow Agent may be converted or merged, or with which it may be consolidated, or to which it may sell or transfer all or substantially all of its corporate trust business and assets as a whole or substantially as a whole, or any corporation or association resulting from any such conversion, sale, merger, consolidation or transfer to which the Escrow Agent is a party, shall be and become the successor escrow agent under this Escrow Agreement and shall have and succeed to the rights, powers, duties, immunities and privileges of its predecessor, without the execution or filing of any instrument or paper or the performance of any further act."
Test File 8.docx,date,Within content,"Section 4.3 Notices. All notices, requests, demands, and other communications required under this Escrow Agreement shall be in writing, in English, and shall be deemed to have been duly given if delivered (i) personally, (ii) by facsimile transmission or email (in each case in this clause (ii), solely if receipt is confirmed), (iii) by overnight delivery with a reputable international overnight delivery service, or (iv) by mail or by certified mail, return receipt requested, and postage prepaid. If any notice is mailed, it shall be deemed given five (5) Business Days after the date such notice is deposited in the United States mail. If notice is given to a party, it shall be given at the address for such party set forth below. It shall be the responsibility of the Parties to notify the Escrow Agent and the other Party in writing of any name or address changes. In the case of communications delivered to the Escrow Agent, such communications shall be deemed to have been given on the date received by the Escrow Agent."
Test File 8.docx,date,Within content,"IN WITNESS WHEREOF, this Escrow Agreement has been duly executed by the undersigned Parties and the Escrow Agent as of the date first written above."
