File Name,Keywords,Type,Content
Executive Severance and Noncompetition Agreement.docx,Change of Control,"4.7 If Executives employment with Merix terminates for any reason prior to a Change of Control, other than at the direction of a person who has entered into an agreement with Merix, the consummation of which will constitute a Change of Control, Executive shall not be entitled to benefits under Section 4 of this Agreement."
Executive Severance and Noncompetition Agreement.docx,Change of Control,"Executive agrees that, if requested by Merix or the surviving company following a Change of Control, Executive will continue his or her employment with Merix or the surviving company for a period of up to six months following the Change of Control in any capacity requested by Merix or the surviving company consistent with Executives areas of professional expertise. During this period Executive shall receive the same salary and substantially the same benefits as in effect prior to the Change of Control. Executive shall not be entitled to any benefits provided by Section 4 if Executive fails to perform in accordance with this Section 5."
Executive Severance and Noncompetition Agreement.docx,Change in Control,"This Agreement replaces and supersedes any severance agreement or other similar agreement between Executive and Merix entered into prior to the date of this Agreement. In the event that severance benefits are payable to Executive under any other agreement with Merix in effect at the time of Termination of Executives Employment (including but not limited to any employment agreement, but excluding for this purpose any stock option agreement or stock bonus agreement or stock appreciation right agreement that may provide for accelerated vesting or related benefits upon the occurrence of a Change in Control), the benefits provided in this Agreement shall not be payable to Executive. Executive may, however, elect to receive all of the benefits provided for in this Agreement in lieu of all of the benefits provided in all such other agreements. Any such election shall be made with respect to the agreements as a whole, and Executive cannot select some benefits from one agreement and other benefits from this Agreement."
Executive Severance and Noncompetition Agreement.docx,Change of Control,"Termination of Executives Employment means that Merix has terminated Executives employment with Merix (including any subsidiary of Merix). For purposes of Section 3, if Executive is assigned additional or different titles, tasks or responsibilities from those currently held or assigned, consistent with Executives areas of professional expertise and with no decrease in annual base compensation, whether at Merix or any subsidiary of Merix, such circumstances shall not constitute a Termination of Executives Employment. For purposes of Section 4, Termination of Executives Employment shall include termination by Executive, within 24 months of a Change of Control, by written notice to Merix referring to the applicable paragraph of Section 9.1, for Good Reason based on:"
Executive Severance and Noncompetition Agreement.docx,Change of Control,"(a) the assignment to Executive of a different title, job or responsibilities that results in a decrease in the level of responsibility of Executive with respect to the surviving company after the Change of Control when compared to Executives level of responsibility for Merix operations prior to the Change of Control; provided that Good Reason shall not exist if Executive continues to have the same or a greater general level of responsibility for the former Merix operations after the Change of Control as Executive had prior to the Change of Control even if the former Merix operations are a subsidiary or division of the surviving company;"
Executive Severance and Noncompetition Agreement.docx,Change of Control,(b) a reduction by Merix or the surviving company in Executives annual base pay as in effect immediately prior to the Change of Control;
Executive Severance and Noncompetition Agreement.docx,Change of Control,"(c) a significant reduction by Merix or the surviving company in total benefits available to Executive under cash incentive, stock incentive and other employee benefit plans after the Change of Control compared to the total package of such benefits as in effect prior to the Change of Control;"
Executive Severance and Noncompetition Agreement.docx,Change of Control,"(d) a requirement by Merix or the surviving company that Executive be based more than 50 miles from where Executives office is located immediately prior to the Change of Control, except for required travel on company business to an extent substantially consistent with the business travel obligations that Executive undertook on behalf of Merix prior to the Change of Control; or"
Executive Severance and Noncompetition Agreement.docx,Change of Control,"A Change of Control shall mean that one of the following events has taken place:
(a) The shareholders of Merix approve one of the following (Approved Transactions):
(i) Any merger or statutory plan of exchange involving Merix (Merger) in which Merix is not the continuing or surviving corporation or pursuant to which shares of Merixs common stock would be converted into cash, securities or other property, other than a Merger involving Merix in which the holders of shares of Merixs common stock immediately prior to the Merger have the same proportionate ownership of common stock of the surviving corporation after the Merger; or
(ii) Any sale, lease, exchange, or other transfer (in one transaction or a series of related transactions) of all or substantially all of the assets of Merix or the adoption of any plan or proposal for the liquidation or dissolution;
(b) A tender or exchange offer, other than one made by Merix, is made for shares of Merixs common stock (or securities convertible into shares of Merixs common stock ), and such offer results in a portion of those securities being purchased and the offeror after the consummation of the offer is the beneficial owner (as determined pursuant to Section 13(d) of the Securities Exchange Act of 1934, as amended (the Exchange Act)), directly or indirectly, of securities representing at least 20 percent of the voting power of outstanding securities of Merix;
(c) Merix receives a report on Schedule 13D of the Exchange Act reporting the beneficial ownership by any person of securities representing 20 percent or more of the voting power of outstanding securities of Merix, except that if such receipt shall occur during a tender offer or exchange offer described in (b) above, a Change of Control shall not take place until the conclusion of such offer; or
(d) During any period of 12 months or less, individuals who at the beginning of such period constituted a majority of the Board of Directors cease for any reason to constitute a majority thereof, unless the nomination or election of such new directors was approved by a vote of at least two-thirds of the directors then still in office who were directors at the beginning of such period.
Notwithstanding anything in the foregoing to the contrary, no Change of Control shall be deemed to have occurred for purposes of this Agreement by virtue of any transaction that results in Executive, or a group of persons that includes Executive, acquiring, directly or indirectly, securities representing 20 percent or more of the voting power of outstanding securities of Merix.


"
Executive Severance and Noncompetition Agreement.docx,Change of Control,"10.1 This Agreement shall be binding on and inure to the benefit of Merix and its Successors and assigns. Upon Executives written request, Merix will seek to have any Successor, by agreement, assent to the fulfillment by Merix of its obligations under this Agreement. If such a request is made, failure of Merix to obtain such assent prior to or at the time a company becomes a Successor shall constitute Good Reason for termination by Executive of his or her employment and, if a Change of Control of Merix has occurred, shall entitle Executive to the benefits pursuant to Section 4."
Executive Severance and Noncompetition Agreement.docx,Change of Control,"This Agreement shall be construed in accordance with and governed by the laws of the State of Oregon. Any dispute or controversy arising under or in connection with this Agreement, or the breach thereof, shall be settled exclusively by arbitration under the Mutual Agreement to Arbitrate Claims signed by the Executive, and judgment upon the award rendered by the Arbitrator may be entered in any Court having jurisdiction thereof. Notwithstanding any provision in the Mutual Agreement to Arbitrate Claims, Merix shall pay all arbitration fees and reasonable attorneys fees and expenses (including at trial and on appeal) of Executive in enforcing its rights under this Agreement in the event of a Termination of Executives Employment within 24 months following a Change of Control. Notwithstanding the foregoing, any dispute or controversy arising under or in connection with Section 6 of this Agreement or a breach thereof shall be settled in accordance with the terms of Section 6.7 of this Agreement."
